A=	1	A=	2
B=	2	B=	3
C=	3	C=	5
D=	4	D=	8
E=	5	E=	12
A=	6	A=	17
B=	7	B=	23
C=	8	C=	30
D=	9	D=	38
E=	10	E=	47
A=	11	A=	57
B=	12	B=	68
C=	13	C=	80
D=	14	D=	93
E=	15	E=	107
A=	16	A=	122
B=	17	B=	138
C=	18	C=	155
D=	19	D=	173
E=	20	E=	192
A=	21	A=	212
B=	22	B=	233
C=	23	C=	255
D=	24	D=	278
E=	25	E=	302
A=	26	A=	327
B=	27	B=	353
C=	28	C=	380
D=	29	D=	408
E=	30	E=	437
A=	31	A=	467
B=	32	B=	498
C=	33	C=	530
D=	34	D=	563
E=	35	E=	597
A=	36	A=	632
B=	37	B=	668
C=	38	C=	705
D=	39	D=	743
E=	40	E=	782
A=	41	A=	822
B=	42	B=	863
C=	43	C=	905
D=	44	D=	948
E=	45	E=	992
A=	46	A=	1037
B=	47	B=	1083
C=	48	C=	1130
D=	49	D=	1178
E=	50	E=	1227
A=	51	A=	1277
B=	52	B=	1328
C=	53	C=	1380
D=	54	D=	1433
E=	55	E=	1487
A=	56	A=	1542
B=	57	B=	1598
C=	58	C=	1655
D=	59	D=	1713
E=	60	E=	1772
A=	61	A=	1832
B=	62	B=	1893
C=	63	C=	1955
D=	64	D=	2018
E=	65	E=	2082
A=	66	A=	2147
B=	67	B=	2213
C=	68	C=	2280
D=	69	D=	2348
E=	70	E=	2417
A=	71	A=	2487
B=	72	B=	2558
C=	73	C=	2630
D=	74	D=	2703
E=	75	E=	2777
A=	76	A=	2852
B=	77	B=	2928
C=	78	C=	3005
D=	79	D=	3083
E=	80	E=	3162
A=	81	A=	3242
B=	82	B=	3323
C=	83	C=	3405
D=	84	D=	3488
E=	85	E=	3572
A=	86	A=	3657
B=	87	B=	3743
C=	88	C=	3830
D=	89	D=	3918
E=	90	E=	4007
A=	91	A=	4097
B=	92	B=	4188
C=	93	C=	4280
D=	94	D=	4373
E=	95	E=	4467
A=	96	A=	4562
B=	97	B=	4658
C=	98	C=	4755
D=	99	D=	4853
E=	100	E=	4952
